event_id,disease,district,upazila,lat,lon,season_label,year,window_start,window_end,label,leaf_blast_incidence_pct,neck_blast_incidence_pct,leaf_blast_severity_pct,neck_blast_severity_pct,pct_fields_infected,avg_yield_loss_pct,affected_area_ha,note,source
RB_Rangpur_Badarganj_2019,rice_blast,Rangpur,Badarganj,25.667,89.05,Boro 2019,2019,2018-12-01,2019-03-15,1,21.0,11.0,15.0,3.0,,,,LBI=21% >= 15%; NBI=11% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rangpur_Kaunia_2017,rice_blast,Rangpur,Kaunia,25.77,89.417,Boro 2017,2017,2016-12-01,2017-03-15,1,18.0,6.0,8.0,7.0,,,,LBI=18% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rangpur_Kaunia_2018,rice_blast,Rangpur,Kaunia,25.77,89.417,Boro 2018,2018,2017-12-01,2018-03-15,0,8.0,7.0,7.0,8.0,,,,LBI=8% < 15% and NBI=7% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rangpur_Kaunia_2019,rice_blast,Rangpur,Kaunia,25.77,89.417,Boro 2019,2019,2018-12-01,2019-03-15,1,21.0,10.0,9.0,7.0,,,,LBI=21% >= 15%; NBI=10% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Bogura_Shibganj_2017,rice_blast,Bogura,Shibganj,25.017,89.317,Boro 2017,2017,2016-12-01,2017-03-15,1,21.0,3.0,20.0,9.0,,,,LBI=21% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Bogura_Shibganj_2018,rice_blast,Bogura,Shibganj,25.017,89.317,Boro 2018,2018,2017-12-01,2018-03-15,0,11.0,3.0,10.0,7.0,,,,LBI=11% < 15% and NBI=3% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Bogura_Shibganj_2019,rice_blast,Bogura,Shibganj,25.017,89.317,Boro 2019,2019,2018-12-01,2019-03-15,1,19.0,4.0,18.0,6.0,,,,LBI=19% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Bogura_Sadar_2017,rice_blast,Bogura,Sadar,24.85,89.367,Boro 2017,2017,2016-12-01,2017-03-15,0,11.0,3.0,16.0,8.0,,,,LBI=11% < 15% and NBI=3% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Bogura_Sadar_2018,rice_blast,Bogura,Sadar,24.85,89.367,Boro 2018,2018,2017-12-01,2018-03-15,0,6.0,4.0,13.0,6.0,,,,LBI=6% < 15% and NBI=4% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Bogura_Sadar_2019,rice_blast,Bogura,Sadar,24.85,89.367,Boro 2019,2019,2018-12-01,2019-03-15,1,17.0,4.0,18.0,5.0,,,,LBI=17% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Bogura_Adamdighi_2017,rice_blast,Bogura,Adamdighi,24.817,89.033,Boro 2017,2017,2016-12-01,2017-03-15,0,9.0,7.0,12.0,5.0,,,,LBI=9% < 15% and NBI=7% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Bogura_Adamdighi_2018,rice_blast,Bogura,Adamdighi,24.817,89.033,Boro 2018,2018,2017-12-01,2018-03-15,0,6.0,7.0,10.0,7.0,,,,LBI=6% < 15% and NBI=7% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Bogura_Adamdighi_2019,rice_blast,Bogura,Adamdighi,24.817,89.033,Boro 2019,2019,2018-12-01,2019-03-15,1,11.0,8.0,13.0,6.0,,,,NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Natore_Sadar_2017,rice_blast,Natore,Sadar,24.4133,88.93,Boro 2017,2017,2016-12-01,2017-03-15,1,16.0,1.0,22.0,7.0,,,,LBI=16% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Natore_Sadar_2018,rice_blast,Natore,Sadar,24.4133,88.93,Boro 2018,2018,2017-12-01,2018-03-15,0,12.0,2.0,12.0,9.0,,,,LBI=12% < 15% and NBI=2% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Natore_Sadar_2019,rice_blast,Natore,Sadar,24.4133,88.93,Boro 2019,2019,2018-12-01,2019-03-15,1,18.0,2.0,20.0,7.0,,,,LBI=18% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Natore_Singra_2017,rice_blast,Natore,Singra,24.5,89.133,Boro 2017,2017,2016-12-01,2017-03-15,0,12.0,2.0,23.0,6.0,,,,LBI=12% < 15% and NBI=2% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Natore_Singra_2018,rice_blast,Natore,Singra,24.5,89.133,Boro 2018,2018,2017-12-01,2018-03-15,0,6.0,3.0,13.0,6.0,,,,LBI=6% < 15% and NBI=3% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Natore_Singra_2019,rice_blast,Natore,Singra,24.5,89.133,Boro 2019,2019,2018-12-01,2019-03-15,0,9.0,3.0,20.0,5.0,,,,LBI=9% < 15% and NBI=3% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Natore_Baraigram_2017,rice_blast,Natore,Baraigram,24.3083,89.17,Boro 2017,2017,2016-12-01,2017-03-15,0,10.0,2.0,21.0,4.0,,,,LBI=10% < 15% and NBI=2% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Natore_Baraigram_2018,rice_blast,Natore,Baraigram,24.3083,89.17,Boro 2018,2018,2017-12-01,2018-03-15,0,5.0,3.0,17.0,2.0,,,,LBI=5% < 15% and NBI=3% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Natore_Baraigram_2019,rice_blast,Natore,Baraigram,24.3083,89.17,Boro 2019,2019,2018-12-01,2019-03-15,0,9.0,3.0,22.0,3.0,,,,LBI=9% < 15% and NBI=3% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Meherpur_Sadar_2017,rice_blast,Meherpur,Sadar,23.775,88.6417,Boro 2017,2017,2016-12-01,2017-03-15,1,18.0,2.0,10.0,4.0,,,,LBI=18% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Meherpur_Sadar_2018,rice_blast,Meherpur,Sadar,23.775,88.6417,Boro 2018,2018,2017-12-01,2018-03-15,0,12.0,2.0,3.0,3.0,,,,LBI=12% < 15% and NBI=2% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Meherpur_Sadar_2019,rice_blast,Meherpur,Sadar,23.775,88.6417,Boro 2019,2019,2018-12-01,2019-03-15,1,15.0,2.0,9.0,2.0,,,,LBI=15% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Meherpur_Mujibnagar_2017,rice_blast,Meherpur,Mujibnagar,23.65,88.6,Boro 2017,2017,2016-12-01,2017-03-15,1,15.0,1.0,9.0,3.0,,,,LBI=15% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Meherpur_Mujibnagar_2018,rice_blast,Meherpur,Mujibnagar,23.65,88.6,Boro 2018,2018,2017-12-01,2018-03-15,0,11.0,2.0,6.0,6.0,,,,LBI=11% < 15% and NBI=2% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Meherpur_Mujibnagar_2019,rice_blast,Meherpur,Mujibnagar,23.65,88.6,Boro 2019,2019,2018-12-01,2019-03-15,1,16.0,2.0,12.0,4.0,,,,LBI=16% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Meherpur_Gangni_2017,rice_blast,Meherpur,Gangni,23.817,88.755,Boro 2017,2017,2016-12-01,2017-03-15,0,12.0,2.0,10.0,2.0,,,,LBI=12% < 15% and NBI=2% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Meherpur_Gangni_2018,rice_blast,Meherpur,Gangni,23.817,88.755,Boro 2018,2018,2017-12-01,2018-03-15,0,9.0,7.0,7.0,2.0,,,,LBI=9% < 15% and NBI=7% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Meherpur_Gangni_2019,rice_blast,Meherpur,Gangni,23.817,88.755,Boro 2019,2019,2018-12-01,2019-03-15,0,13.0,7.0,11.0,1.0,,,,LBI=13% < 15% and NBI=7% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rajbari_Pangsha_2017,rice_blast,Rajbari,Pangsha,23.7917,89.417,Boro 2017,2017,2016-12-01,2017-03-15,0,9.0,3.0,8.0,2.0,,,,LBI=9% < 15% and NBI=3% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rajbari_Pangsha_2018,rice_blast,Rajbari,Pangsha,23.7917,89.417,Boro 2018,2018,2017-12-01,2018-03-15,0,4.0,6.0,2.0,3.0,,,,LBI=4% < 15% and NBI=6% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rajbari_Pangsha_2019,rice_blast,Rajbari,Pangsha,23.7917,89.417,Boro 2019,2019,2018-12-01,2019-03-15,1,11.0,8.0,7.0,2.0,,,,NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rajbari_Sadar_2017,rice_blast,Rajbari,Sadar,23.755,89.65,Boro 2017,2017,2016-12-01,2017-03-15,0,11.0,3.0,7.0,1.0,,,,LBI=11% < 15% and NBI=3% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rajbari_Sadar_2018,rice_blast,Rajbari,Sadar,23.755,89.65,Boro 2018,2018,2017-12-01,2018-03-15,0,9.0,5.0,4.0,1.0,,,,LBI=9% < 15% and NBI=5% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rajbari_Sadar_2019,rice_blast,Rajbari,Sadar,23.755,89.65,Boro 2019,2019,2018-12-01,2019-03-15,0,14.0,7.0,6.0,2.0,,,,LBI=14% < 15% and NBI=7% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rajbari_Kalukhali_2017,rice_blast,Rajbari,Kalukhali,23.7621,89.4994,Boro 2017,2017,2016-12-01,2017-03-15,0,13.0,4.0,8.0,3.0,,,,LBI=13% < 15% and NBI=4% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rajbari_Kalukhali_2018,rice_blast,Rajbari,Kalukhali,23.7621,89.4994,Boro 2018,2018,2017-12-01,2018-03-15,0,7.0,6.0,6.0,2.0,,,,LBI=7% < 15% and NBI=6% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Rajbari_Kalukhali_2019,rice_blast,Rajbari,Kalukhali,23.7621,89.4994,Boro 2019,2019,2018-12-01,2019-03-15,1,15.0,7.0,9.0,1.0,,,,LBI=15% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Mymensingh_Sadar_2017,rice_blast,Mymensingh,Sadar,24.75,90.417,Boro 2017,2017,2016-12-01,2017-03-15,1,15.0,1.0,10.0,9.0,,,,LBI=15% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Mymensingh_Sadar_2018,rice_blast,Mymensingh,Sadar,24.75,90.417,Boro 2018,2018,2017-12-01,2018-03-15,0,8.0,1.0,6.0,7.0,,,,LBI=8% < 15% and NBI=1% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Mymensingh_Sadar_2019,rice_blast,Mymensingh,Sadar,24.75,90.417,Boro 2019,2019,2018-12-01,2019-03-15,0,14.0,2.0,9.0,4.0,,,,LBI=14% < 15% and NBI=2% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Mymensingh_Ishwarganj_2017,rice_blast,Mymensingh,Ishwarganj,24.65,90.5,Boro 2017,2017,2016-12-01,2017-03-15,0,8.0,2.0,6.0,8.0,,,,LBI=8% < 15% and NBI=2% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Mymensingh_Ishwarganj_2018,rice_blast,Mymensingh,Ishwarganj,24.65,90.5,Boro 2018,2018,2017-12-01,2018-03-15,0,5.0,3.0,4.0,9.0,,,,LBI=5% < 15% and NBI=3% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Mymensingh_Ishwarganj_2019,rice_blast,Mymensingh,Ishwarganj,24.65,90.5,Boro 2019,2019,2018-12-01,2019-03-15,0,13.0,3.0,13.0,6.0,,,,LBI=13% < 15% and NBI=3% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Mymensingh_Gauripur_2017,rice_blast,Mymensingh,Gauripur,24.7583,90.575,Boro 2017,2017,2016-12-01,2017-03-15,0,11.0,2.0,15.0,5.0,,,,LBI=11% < 15% and NBI=2% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Mymensingh_Gauripur_2018,rice_blast,Mymensingh,Gauripur,24.7583,90.575,Boro 2018,2018,2017-12-01,2018-03-15,0,7.0,3.0,9.0,4.0,,,,LBI=7% < 15% and NBI=3% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Mymensingh_Gauripur_2019,rice_blast,Mymensingh,Gauripur,24.7583,90.575,Boro 2019,2019,2018-12-01,2019-03-15,0,12.0,4.0,14.0,3.0,,,,LBI=12% < 15% and NBI=4% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Jashore_Jhikargachha_2017,rice_blast,Jashore,Jhikargachha,23.1,89.133,Boro 2017,2017,2016-12-01,2017-03-15,0,12.0,1.0,9.0,2.0,,,,LBI=12% < 15% and NBI=1% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Jashore_Jhikargachha_2018,rice_blast,Jashore,Jhikargachha,23.1,89.133,Boro 2018,2018,2017-12-01,2018-03-15,0,8.0,1.0,5.0,2.0,,,,LBI=8% < 15% and NBI=1% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Jashore_Jhikargachha_2019,rice_blast,Jashore,Jhikargachha,23.1,89.133,Boro 2019,2019,2018-12-01,2019-03-15,0,14.0,2.0,8.0,1.0,,,,LBI=14% < 15% and NBI=2% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Jashore_Sadar_2017,rice_blast,Jashore,Sadar,23.1683,89.205,Boro 2017,2017,2016-12-01,2017-03-15,0,8.0,1.0,7.0,3.0,,,,LBI=8% < 15% and NBI=1% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Jashore_Sadar_2018,rice_blast,Jashore,Sadar,23.1683,89.205,Boro 2018,2018,2017-12-01,2018-03-15,0,4.0,2.0,5.0,5.0,,,,LBI=4% < 15% and NBI=2% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Jashore_Sadar_2019,rice_blast,Jashore,Sadar,23.1683,89.205,Boro 2019,2019,2018-12-01,2019-03-15,0,5.0,3.0,14.0,4.0,,,,LBI=5% < 15% and NBI=3% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Jashore_Manirampur_2017,rice_blast,Jashore,Manirampur,23.017,89.233,Boro 2017,2017,2016-12-01,2017-03-15,0,5.0,2.0,4.0,1.0,,,,LBI=5% < 15% and NBI=2% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Jashore_Manirampur_2018,rice_blast,Jashore,Manirampur,23.017,89.233,Boro 2018,2018,2017-12-01,2018-03-15,0,3.0,2.0,2.0,1.0,,,,LBI=3% < 15% and NBI=2% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
RB_Jashore_Manirampur_2019,rice_blast,Jashore,Manirampur,23.017,89.233,Boro 2019,2019,2018-12-01,2019-03-15,0,4.0,3.0,6.0,2.0,,,,LBI=4% < 15% and NBI=3% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13
