district,upazila,season,year,leaf_blast_incidence_pct,neck_blast_incidence_pct,leaf_blast_severity_pct,neck_blast_severity_pct,source
Mymensingh,Gauripur,Boro,2019,12,4,14,3,Mahmud et al. (2021) SAJBR 4(1):01-13
Jashore,Jhikargachha,Boro,2017,12,1,9,2,Mahmud et al. (2021) SAJBR 4(1):01-13
Jashore,Jhikargachha,Boro,2018,8,1,5,2,Mahmud et al. (2021) SAJBR 4(1):01-13
Jashore,Jhikargachha,Boro,2019,14,2,8,1,Mahmud et al. (2021) SAJBR 4(1):01-13
Jashore,Sadar,Boro,2017,8,1,7,3,Mahmud et al. (2021) SAJBR 4(1):01-13
Jashore,Sadar,Boro,2018,4,2,5,5,Mahmud et al. (2021) SAJBR 4(1):01-13
Jashore,Sadar,Boro,2019,5,3,14,4,Mahmud et al. (2021) SAJBR 4(1):01-13
Jashore,Manirampur,Boro,2017,5,2,4,1,Mahmud et al. (2021) SAJBR 4(1):01-13
Jashore,Manirampur,Boro,2018,3,2,2,1,Mahmud et al. (2021) SAJBR 4(1):01-13
Jashore,Manirampur,Boro,2019,4,3,6,2,Mahmud et al. (2021) SAJBR 4(1):01-13
